gender,age,marital_status,education,nb_depend_child,employ_status,yrs_current_job,yrs_employed,net_income,spouse_work,spouse_income,residential_status,yrs_current_address,loan_amount,loan_purpose,loan_length,collateral,writeoff
F,46,divorced,univ,0,full_time,7,8,79688,no,0,tenant,4,20062,vehicle,36,yes,no
M,34,married,postgrad,1,part_time,4,5,76500,no,0,tenant,7,66238,debt_consol,41,no,no
M,25,divorced,basic,1,self_employ,4,3,25500,no,0,owner_morg,1,21218,vehicle,58,yes,no
F,32,married,highsch,1,part_time,3,11,28688,yes,54798,tenant,7,47082,debt_consol,39,no,no
M,29,single,highsch,0,full_time,4,7,31875,no,0,owner,6,18637,vehicle,30,no,no
F,25,divorced,basic,3,unemployed,0,0,0,no,0,owner_morg,7,7576,other,6,no,yes
F,29,divorced,basic,2,part_time,1,2,12750,no,0,owner,1,19275,wedding,45,yes,no
M,31,single,basic,0,full_time,7,6,31875,no,0,tenant,9,30925,other,40,no,yes
M,35,single,highsch,0,self_employ,3,2,57375,no,0,tenant,7,24125,debt_consol,41,no,yes
M,24,married,univ,0,unemployed,0,1,0,yes,23244,tenant,6,18998,holidays,28,no,yes
F,22,single,highsch,0,part_time,0,2,19125,no,0,owner_morg,4,19147,wedding,31,yes,no
F,41,single,highsch,0,unemployed,0,8,0,no,0,tenant,3,18475,wedding,50,no,yes
M,28,married,postgrad,3,self_employ,2,2,102000,no,0,tenant,1,56235,debt_consol,37,no,no
F,34,divorced,highsch,3,part_time,3,11,28688,no,0,tenant,6,22655,debt_consol,52,no,yes
F,22,single,highsch,0,part_time,2,2,19125,no,0,tenant,5,11550,debt_consol,27,no,yes
M,21,single,highsch,0,full_time,2,2,31875,no,0,owner,3,24027,vehicle,27,yes,no
M,40,married,univ,0,part_time,3,11,47813,yes,52116,owner_morg,13,7048,holidays,7,yes,no
F,31,single,univ,0,full_time,3,6,79688,no,0,owner_morg,11,18961,debt_consol,55,no,yes
M,22,divorced,highsch,1,full_time,2,2,31875,no,0,owner_morg,7,10599,debt_consol,48,yes,no
F,23,divorced,highsch,1,unemployed,0,0,0,no,0,owner_morg,3,14042,wedding,40,yes,no
F,35,divorced,basic,1,unemployed,0,1,0,no,0,owner_morg,7,19015,wedding,46,yes,no
M,34,single,highsch,0,full_time,0,10,47813,no,0,tenant,1,22344,debt_consol,46,no,yes
M,30,divorced,basic,2,full_time,2,3,31875,no,0,tenant,5,20660,other,49,no,no
F,36,married,highsch,0,part_time,6,14,28688,yes,28900,tenant,13,15924,vehicle,24,no,yes
M,35,single,postgrad,0,full_time,8,10,127500,no,0,owner,13,53852,home_improv,57,no,yes
M,38,married,highsch,3,self_employ,4,3,57375,yes,41960,owner,2,55017,home_improv,54,no,no
F,41,single,univ,0,full_time,6,16,79688,no,0,tenant,15,72974,debt_consol,35,no,yes
M,39,single,univ,0,unemployed,0,10,0,no,0,tenant,14,18649,debt_consol,44,no,yes
M,35,single,highsch,0,part_time,7,7,28688,no,0,tenant,5,11283,debt_consol,31,no,no
F,32,single,highsch,0,part_time,0,9,28688,no,0,tenant,8,6485,debt_consol,12,no,yes
F,27,married,highsch,1,unemployed,0,1,0,yes,59572,owner,2,53211,home_improv,25,yes,no
F,34,divorced,highsch,2,self_employ,6,6,57375,no,0,owner,1,21570,debt_consol,44,yes,no
F,38,single,basic,0,part_time,6,14,19125,no,0,owner_morg,10,11112,other,30,yes,no
M,26,widowed,univ,0,part_time,2,2,31875,no,0,tenant,5,9570,other,7,no,no
F,27,divorced,highsch,0,full_time,5,4,31875,no,0,tenant,9,6846,vehicle,6,no,no
F,25,single,univ,0,self_employ,0,0,63750,no,0,owner_morg,3,23003,wedding,33,no,yes
F,28,divorced,univ,3,self_employ,4,7,63750,no,0,tenant,6,29710,wedding,43,no,no
F,29,single,highsch,0,full_time,5,7,31875,no,0,tenant,10,26764,debt_consol,26,no,no
F,21,single,highsch,0,unemployed,0,1,0,no,0,w_parents,3,14772,other,40,no,yes
M,53,divorced,highsch,1,unemployed,0,13,0,no,0,tenant,15,13427,debt_consol,36,no,yes
M,24,single,univ,0,unemployed,0,2,0,no,0,tenant,6,17141,other,32,no,yes
F,42,married,univ,2,self_employ,3,6,95625,yes,95075,owner_morg,14,31176,home_improv,52,yes,no
F,32,married,highsch,0,full_time,0,6,47813,yes,54477,tenant,13,74231,other,49,no,yes
F,22,married,basic,0,unemployed,0,2,0,yes,56899,tenant,5,24378,vehicle,56,no,yes
F,33,married,univ,0,full_time,0,9,79688,yes,34721,owner_morg,8,16435,other,24,no,yes
M,29,widowed,basic,2,part_time,0,9,12750,no,0,owner_morg,8,18421,vehicle,54,yes,no
M,34,single,univ,0,full_time,3,11,79688,no,0,tenant,11,14373,other,33,no,yes
M,23,single,highsch,0,self_employ,2,4,38250,no,0,tenant,4,5134,debt_consol,10,no,yes
M,30,married,highsch,2,self_employ,1,2,57375,yes,30870,tenant,2,52046,other,39,no,no
F,26,single,univ,0,part_time,4,4,31875,no,0,tenant,2,23395,other,33,no,yes
M,40,married,highsch,2,self_employ,1,2,57375,no,0,tenant,1,20521,debt_consol,52,yes,no
M,30,married,postgrad,3,unemployed,0,3,0,yes,37099,tenant,1,5167,other,12,no,no
F,40,divorced,basic,1,part_time,10,16,19125,no,0,tenant,9,7274,debt_consol,8,no,no
F,33,single,univ,0,self_employ,0,9,95625,no,0,owner_morg,2,24786,other,47,yes,no
F,33,divorced,univ,0,full_time,7,10,79688,no,0,owner,12,9413,wedding,6,yes,no
F,33,divorced,univ,0,unemployed,0,0,0,no,0,tenant,4,19006,vehicle,27,no,yes
M,28,divorced,highsch,0,self_employ,4,4,38250,no,0,tenant,5,25043,debt_consol,44,no,yes
F,26,single,univ,0,unemployed,0,5,0,no,0,owner,5,16916,vehicle,30,no,no
M,34,single,highsch,0,full_time,7,7,47813,no,0,owner,10,39782,home_improv,50,yes,yes
F,35,widowed,univ,0,full_time,3,9,79688,no,0,tenant,1,71031,debt_consol,37,no,no
F,29,widowed,univ,0,self_employ,5,9,63750,no,0,owner_morg,1,48032,home_improv,59,yes,no
F,30,single,highsch,0,full_time,2,6,47813,no,0,tenant,3,35529,other,33,no,yes
F,25,divorced,univ,0,self_employ,3,4,63750,no,0,tenant,7,9557,debt_consol,12,yes,no
F,47,single,univ,0,full_time,3,15,79688,no,0,tenant,8,67682,debt_consol,51,no,yes
M,28,widowed,basic,0,full_time,4,8,21250,no,0,tenant,8,12925,debt_consol,37,no,no
M,28,divorced,basic,1,full_time,1,8,21250,no,0,owner,7,10498,other,38,no,yes
F,34,divorced,highsch,0,self_employ,4,9,57375,no,0,tenant,15,12698,other,41,no,yes
M,38,divorced,postgrad,2,full_time,9,9,127500,no,0,tenant,1,101398,debt_consol,77,no,yes
F,28,married,univ,0,part_time,5,4,31875,yes,50150,tenant,2,48516,debt_consol,30,yes,no
F,42,single,highsch,0,full_time,5,7,47813,no,0,tenant,14,22302,vehicle,49,no,no
M,53,divorced,postgrad,1,full_time,7,25,148750,no,0,owner,10,105556,home_improv,65,yes,no
M,41,divorced,basic,0,self_employ,12,10,38250,no,0,tenant,13,20880,wedding,33,no,yes
F,37,divorced,univ,1,full_time,0,13,79688,no,0,tenant,9,40736,other,53,no,yes
M,45,divorced,univ,2,part_time,2,15,47813,no,0,owner_morg,8,22352,wedding,37,yes,no
F,28,married,highsch,1,self_employ,2,3,38250,yes,54886,owner_morg,4,27248,other,42,no,yes
F,27,divorced,univ,2,self_employ,5,6,63750,no,0,tenant,6,37244,other,41,no,yes
M,34,widowed,postgrad,1,full_time,5,7,127500,no,0,owner,11,49012,home_improv,28,yes,no
M,31,married,highsch,2,part_time,1,4,28688,yes,52187,tenant,2,69113,debt_consol,57,yes,no
F,25,single,basic,0,full_time,3,5,21250,no,0,owner_morg,9,9836,wedding,11,yes,yes
F,33,single,univ,0,self_employ,3,9,95625,no,0,tenant,9,29927,wedding,25,no,yes
F,34,divorced,basic,0,part_time,8,11,19125,no,0,owner,13,9932,debt_consol,11,yes,no
M,41,married,basic,0,self_employ,10,18,38250,yes,55346,tenant,10,39090,debt_consol,45,no,yes
F,29,divorced,highsch,2,unemployed,0,2,0,no,0,owner,1,11296,vehicle,24,yes,no
F,35,married,highsch,0,part_time,9,10,28688,yes,46357,owner,9,47631,home_improv,47,yes,no
M,32,married,highsch,0,full_time,5,11,47813,yes,53868,tenant,10,7781,holidays,9,no,no
M,28,single,highsch,0,full_time,1,5,31875,no,0,tenant,2,23787,debt_consol,31,no,no
F,24,married,univ,0,unemployed,0,5,0,yes,26337,tenant,5,15561,holidays,28,no,yes
M,32,divorced,highsch,1,full_time,6,6,47813,no,0,owner,14,28675,wedding,29,yes,no
M,41,single,highsch,0,self_employ,3,8,57375,no,0,owner,4,5195,wedding,12,yes,no
M,45,married,postgrad,1,unemployed,0,3,0,yes,25790,owner_morg,11,17419,vehicle,56,no,no
M,37,single,univ,0,self_employ,5,6,95625,no,0,owner_morg,7,79781,debt_consol,32,yes,no
F,39,divorced,univ,2,full_time,1,15,79688,no,0,owner,11,65317,home_improv,48,yes,no
M,39,single,highsch,0,full_time,5,17,47813,no,0,tenant,4,15389,debt_consol,29,no,yes
F,34,divorced,postgrad,2,full_time,3,10,127500,no,0,owner,11,40980,home_improv,25,yes,yes
F,25,married,highsch,1,part_time,0,1,19125,yes,56808,owner_morg,6,18781,debt_consol,38,yes,no
F,25,single,univ,0,full_time,2,2,53125,no,0,tenant,9,45574,debt_consol,32,no,yes
F,38,divorced,basic,0,self_employ,9,13,38250,no,0,tenant,8,19692,wedding,59,no,yes
F,45,widowed,highsch,2,part_time,10,21,28688,no,0,tenant,11,24409,debt_consol,38,no,no
F,35,single,univ,0,unemployed,0,6,0,no,0,tenant,6,9237,other,11,no,yes
M,47,widowed,univ,2,self_employ,2,10,95625,no,0,owner,7,17932,debt_consol,51,yes,no
F,27,divorced,highsch,0,full_time,3,5,31875,no,0,owner_morg,6,21347,other,30,no,no
M,25,single,univ,0,full_time,4,6,53125,no,0,tenant,1,35999,debt_consol,42,no,yes
M,42,single,highsch,0,full_time,2,10,47813,no,0,tenant,12,5096,other,12,no,yes
M,33,married,basic,2,full_time,2,6,31875,yes,57112,tenant,6,55293,other,43,no,no
F,23,single,univ,0,unemployed,0,2,0,no,0,owner_morg,8,7370,debt_consol,12,yes,no
M,28,married,univ,1,full_time,0,0,53125,no,0,owner,5,44692,home_improv,29,yes,no
M,23,single,univ,0,unemployed,0,0,0,no,0,tenant,4,17094,other,53,no,yes
M,29,single,univ,0,full_time,5,7,53125,no,0,tenant,5,34659,debt_consol,41,no,yes
F,31,married,univ,0,self_employ,0,4,95625,yes,64722,tenant,3,33425,debt_consol,30,no,yes
F,38,single,highsch,0,unemployed,0,12,0,no,0,owner_morg,6,12787,other,54,yes,no
F,40,divorced,highsch,1,part_time,10,13,28688,no,0,tenant,8,8371,debt_consol,10,no,yes
M,27,single,univ,0,part_time,5,4,31875,no,0,owner,1,12986,debt_consol,48,yes,no
F,31,married,univ,0,full_time,1,5,79688,yes,42885,owner_morg,9,38549,home_improv,52,yes,yes
M,42,divorced,univ,0,unemployed,0,7,0,no,0,owner_morg,6,10025,debt_consol,59,no,yes
M,27,single,univ,0,self_employ,2,6,63750,no,0,tenant,7,34429,other,31,no,yes
M,40,divorced,basic,3,full_time,11,16,31875,no,0,owner,6,8247,vehicle,11,yes,no
M,24,divorced,univ,0,part_time,0,2,31875,no,0,tenant,6,22559,debt_consol,26,no,yes
M,36,divorced,univ,0,full_time,1,14,79688,no,0,tenant,1,32614,debt_consol,35,yes,no
F,24,single,univ,0,part_time,3,2,31875,no,0,owner,5,28956,other,51,yes,no
F,33,single,highsch,0,unemployed,0,1,0,no,0,tenant,9,14867,other,54,no,yes
M,29,married,highsch,0,unemployed,0,2,0,no,0,tenant,8,9280,debt_consol,10,no,no
M,47,married,postgrad,2,unemployed,0,5,0,yes,35203,tenant,8,15315,debt_consol,31,no,no
F,27,divorced,univ,0,unemployed,0,5,0,no,0,owner,2,6472,vehicle,10,no,yes
M,24,widowed,highsch,1,unemployed,0,2,0,no,0,tenant,6,12000,debt_consol,30,no,no
M,30,married,highsch,2,full_time,6,7,47813,yes,56753,tenant,11,12267,other,53,yes,no
M,23,divorced,highsch,1,full_time,0,4,31875,no,0,owner_morg,3,15381,debt_consol,53,yes,no
F,23,single,univ,0,full_time,1,4,53125,no,0,tenant,6,41206,debt_consol,59,no,no
M,41,widowed,univ,3,full_time,6,18,79688,no,0,tenant,4,63111,other,26,no,no
M,34,married,univ,3,unemployed,0,2,0,yes,30318,owner_morg,1,7085,holidays,11,yes,no
M,35,single,univ,0,part_time,6,6,47813,no,0,tenant,2,20426,vehicle,28,no,yes
M,34,divorced,basic,2,unemployed,0,0,0,no,0,tenant,9,15995,debt_consol,40,no,no
M,39,married,highsch,2,self_employ,7,10,57375,yes,44809,tenant,7,65087,debt_consol,55,no,no
F,31,single,univ,0,full_time,3,5,79688,no,0,owner,11,7275,debt_consol,6,no,yes
F,33,single,postgrad,0,full_time,5,4,127500,no,0,tenant,15,16937,other,45,no,no
M,40,divorced,highsch,0,unemployed,0,16,0,no,0,owner,3,9563,vehicle,12,yes,no
M,30,divorced,highsch,1,part_time,4,8,28688,no,0,owner,13,9884,vehicle,7,yes,no
M,27,married,basic,0,part_time,0,4,12750,yes,26939,tenant,6,26849,debt_consol,37,no,no
F,36,married,univ,2,full_time,8,8,79688,no,0,tenant,14,14540,vehicle,25,no,no
F,27,married,basic,1,unemployed,0,6,0,yes,368,owner_morg,6,11902,other,40,yes,no
F,29,married,highsch,2,unemployed,0,6,0,yes,18636,tenant,4,10793,other,51,no,no
F,50,married,highsch,1,full_time,11,18,55781,yes,31754,owner,12,73740,home_improv,30,yes,no
M,26,divorced,univ,3,full_time,2,2,53125,no,0,owner_morg,8,16850,wedding,46,no,yes
M,22,married,univ,0,part_time,1,2,31875,yes,34003,owner_morg,5,24495,other,26,yes,no
M,28,single,highsch,0,part_time,0,3,19125,no,0,tenant,5,12503,vehicle,47,no,yes
M,23,divorced,basic,0,full_time,2,2,21250,no,0,tenant,5,11819,other,34,no,yes
F,30,married,highsch,0,unemployed,0,0,0,yes,7914,owner_morg,8,19466,holidays,42,yes,no
M,28,married,postgrad,1,self_employ,1,2,102000,yes,47597,owner_morg,4,134338,home_improv,74,yes,no
M,22,single,univ,0,full_time,0,2,53125,no,0,tenant,3,18040,other,24,no,yes
M,31,married,postgrad,1,unemployed,0,10,0,no,0,tenant,14,7911,holidays,12,no,no
F,33,divorced,highsch,0,part_time,0,9,28688,no,0,tenant,5,13236,debt_consol,33,no,yes
F,34,single,highsch,0,full_time,4,9,47813,no,0,owner,1,24190,wedding,58,yes,no
M,40,divorced,postgrad,0,full_time,6,11,127500,no,0,owner,14,79807,home_improv,59,yes,no
F,39,single,highsch,0,part_time,1,9,28688,no,0,owner_morg,13,12966,other,36,yes,no
M,48,divorced,univ,1,part_time,5,7,47813,no,0,owner_morg,9,46218,home_improv,38,yes,no
M,49,single,highsch,0,part_time,2,22,28688,no,0,tenant,11,14659,debt_consol,32,no,yes
F,41,widowed,highsch,1,part_time,9,18,28688,no,0,owner_morg,5,23755,debt_consol,37,no,yes
F,52,single,univ,0,part_time,11,15,55781,no,0,tenant,3,53944,debt_consol,53,no,no
F,31,divorced,highsch,1,self_employ,0,2,57375,no,0,owner_morg,2,24857,vehicle,48,no,yes
F,32,divorced,postgrad,0,full_time,6,5,127500,no,0,owner,13,6398,debt_consol,8,yes,no
F,29,divorced,highsch,3,part_time,0,2,19125,no,0,tenant,3,8174,wedding,11,no,yes
M,23,widowed,univ,0,full_time,2,3,53125,no,0,tenant,8,10513,vehicle,60,no,no
F,47,divorced,univ,3,full_time,0,14,79688,no,0,owner,14,26888,wedding,41,no,yes
M,40,widowed,basic,3,full_time,0,12,31875,no,0,tenant,15,10576,vehicle,24,no,no
F,25,single,highsch,0,full_time,3,5,31875,no,0,tenant,5,25362,vehicle,50,no,yes
M,36,divorced,univ,0,unemployed,0,14,0,no,0,owner,13,19851,wedding,31,yes,no
F,27,single,highsch,0,full_time,4,5,31875,no,0,owner,4,19976,debt_consol,32,yes,no
F,44,married,univ,0,part_time,9,20,47813,no,0,owner_morg,15,38438,debt_consol,49,yes,no
F,34,single,univ,0,part_time,1,6,47813,no,0,tenant,11,16399,debt_consol,50,no,yes
F,27,divorced,highsch,1,part_time,0,4,19125,no,0,owner,3,10153,debt_consol,59,no,no
M,38,married,basic,0,unemployed,0,2,0,yes,15113,owner_morg,15,6509,debt_consol,8,yes,no
M,32,divorced,univ,3,full_time,2,6,79688,no,0,tenant,5,75651,other,53,no,yes
M,33,divorced,highsch,3,full_time,1,6,47813,no,0,tenant,3,35614,other,41,no,yes
M,26,divorced,univ,0,full_time,1,6,53125,no,0,tenant,9,26992,vehicle,53,no,no
M,26,single,basic,0,unemployed,0,6,0,no,0,tenant,9,14341,wedding,31,no,yes
M,37,married,postgrad,1,unemployed,0,10,0,yes,26272,owner,12,5371,other,7,yes,no
M,27,divorced,univ,0,unemployed,0,1,0,no,0,owner,1,7302,wedding,11,yes,yes
F,47,widowed,univ,1,self_employ,15,19,95625,no,0,owner,3,28342,vehicle,60,yes,no
M,27,married,basic,0,unemployed,0,2,0,yes,21967,tenant,3,13864,holidays,35,no,yes
F,33,single,univ,0,full_time,8,8,79688,no,0,tenant,8,25786,debt_consol,36,no,yes
F,37,widowed,univ,3,full_time,4,10,79688,no,0,owner,11,34287,debt_consol,39,no,no
F,47,widowed,univ,0,full_time,6,6,79688,no,0,tenant,1,55175,debt_consol,42,no,no
F,40,divorced,highsch,0,unemployed,0,6,0,no,0,tenant,12,5090,wedding,7,no,yes
F,35,single,highsch,0,full_time,6,14,47813,no,0,tenant,5,30516,other,35,no,yes
F,32,single,univ,0,full_time,1,7,79688,no,0,tenant,9,66433,other,24,no,yes
M,33,married,basic,2,unemployed,0,8,0,yes,17925,tenant,5,12979,other,36,no,no
M,28,divorced,postgrad,2,full_time,2,2,85000,no,0,owner,2,78875,home_improv,57,no,yes
F,40,divorced,highsch,1,full_time,3,9,47813,no,0,owner,11,31168,home_improv,60,no,no
M,27,single,highsch,0,self_employ,3,2,38250,no,0,owner,3,28100,vehicle,36,no,yes
M,27,single,univ,0,self_employ,5,6,63750,no,0,owner,4,26486,vehicle,51,yes,no
M,28,divorced,highsch,1,full_time,2,6,31875,no,0,tenant,2,8880,wedding,8,no,no
F,21,widowed,highsch,1,unemployed,0,1,0,no,0,tenant,6,14422,other,54,no,no
F,38,single,highsch,0,full_time,9,9,47813,no,0,tenant,11,28899,vehicle,51,no,no
M,30,divorced,univ,2,self_employ,0,3,95625,no,0,owner_morg,6,29181,debt_consol,39,yes,no
F,25,single,basic,0,full_time,4,6,21250,no,0,tenant,7,17377,wedding,29,no,no
M,36,divorced,highsch,2,full_time,6,10,47813,no,0,tenant,10,13939,other,47,no,yes
F,25,married,univ,0,part_time,4,4,31875,yes,59137,tenant,9,35231,debt_consol,40,no,yes
M,29,single,univ,0,part_time,4,5,31875,no,0,tenant,2,13994,debt_consol,51,no,yes
F,30,married,highsch,2,unemployed,0,8,0,yes,48138,owner_morg,8,46172,home_improv,47,no,yes
M,27,married,univ,2,part_time,2,6,31875,yes,47133,tenant,10,37758,other,45,no,no
F,35,widowed,univ,3,part_time,2,6,47813,no,0,owner,6,39814,home_improv,48,yes,no
M,37,divorced,highsch,0,unemployed,0,12,0,no,0,owner,7,8690,wedding,11,no,yes
F,32,divorced,univ,1,full_time,0,11,79688,no,0,owner_morg,3,16353,wedding,60,no,yes
F,29,single,basic,0,full_time,4,8,21250,no,0,tenant,2,11204,other,40,no,yes
F,38,divorced,basic,1,self_employ,9,16,38250,no,0,tenant,7,19649,debt_consol,29,no,yes
F,27,divorced,univ,2,unemployed,0,6,0,no,0,tenant,1,12818,debt_consol,30,no,no
F,31,divorced,basic,0,full_time,6,8,31875,no,0,owner,8,5686,vehicle,9,no,yes
M,34,divorced,univ,2,unemployed,0,4,0,no,0,tenant,9,7406,other,12,no,yes
F,33,single,highsch,0,unemployed,0,3,0,no,0,owner_morg,13,9131,vehicle,7,yes,no
F,27,divorced,postgrad,0,full_time,2,6,85000,no,0,tenant,5,33122,debt_consol,46,no,yes
M,38,single,postgrad,0,full_time,7,9,127500,no,0,owner_morg,9,108278,home_improv,64,yes,no
F,41,single,highsch,0,full_time,5,9,47813,no,0,tenant,7,24754,other,59,no,yes
M,31,divorced,postgrad,1,full_time,2,2,127500,no,0,owner_morg,8,37885,debt_consol,43,no,yes
M,37,divorced,basic,1,full_time,10,12,31875,no,0,tenant,14,23823,vehicle,30,no,yes
M,26,divorced,highsch,2,part_time,2,6,19125,no,0,owner,7,9930,other,9,no,no
M,22,married,highsch,1,part_time,0,3,19125,yes,36850,owner_morg,5,41818,debt_consol,29,yes,no
F,38,married,postgrad,1,full_time,0,10,127500,yes,97314,tenant,9,26962,holidays,27,no,no
